NVDA,QQQ
2.374902109,1.661661944
-1.074318888,0.5087082531
1.152959346,0.5522691087
2.17709495,0.7109977129
0.2965333711,-0.3481101837
-3.212194672,-1.264959958
1.384972774,1.124296911
-4.79249496,-0.3280847763
-4.04541522,-1.320471626
-0.2253891363,-0.9400887712
-1.710470735,-1.503028686
3.765174149,0.3012960651
1.588252172,0.9681082642
-4.410723051,-2.478035375
-3.539739547,-1.925129195
0.4305527099,0.4789750351
1.618919555,1.120229982
-0.9299433941,0.4770911911
3.71861923,1.720793523
2.7520927,1.799052148
3.387471302,1.168033259
1.644010322,0.4071003931
0.4448959434,0.9408275207
1.337979334,0.06437154761
0.8040781614,-0.772535831
2.907274268,2.223325356
0.5879045239,-0.3123411726
2.108423151,2.129803859
-1.558724726,0.07523393747
1.203654545,0.08554428429
-0.3684988684,0.02331558646
2.228618804,1.210133722
-0.9267340865,-0.5826402248
-2.489485533,0.4084618994
-1.948408415,-0.1411003722
0.9706595589,-0.08732650423
-0.8765183133,0.261750555
0.6648565148,-0.09743693079
-2.88714225,-0.2517239126
-0.01069503389,0.2850689594
-2.720295184,-0.9326826578
2.293857448,0.2507729963
-2.309241404,-0.5800624827
2.373642557,1.38755131
1.934133342,0.444677448
-1.867626575,0.8505874618
2.184978962,0.7932712602
0.9003137623,1.263704204
0.5433545765,-0.08672085532
1.110664242,0.4822338116
2.398893456,0.4283483166
-0.9490305094,0.5096592976
-3.056068377,-1.49712662
1.810537339,1.156824182
-0.3271329905,0.1494862753
0.9153191576,0.6103087492
0.2796475781,0.1507806887
0.2122496446,-0.04861740565
0,-0.4337130772
-2.772213167,-1.706705088
-1.251359285,-1.063788959
0.8978073515,-0.5159745244
2.263856888,0.1185329825
6.229942579,2.045727292
1.683262453,0.1973574066
2.251462807,0.6754707905
0.8646906779,0.207863618
-0.2045056138,0.05128573435
3.010350684,-0.009769253471
-0.5852247582,-0.5656714499
1.862898989,1.409435459
4.089828187,1.963692375
0.2736172032,0.1305045795
0.3664451593,0.4140988524
2.456512406,0.5533861611
0.4147035998,0.1220444199
-0.9555850372,-0.5975382388
2.322450978,1.018835059
0.4934520773,-0.6678813414
-2.006482371,-1.978049488
2.408710238,1.17066461
4.85127767,1.675932673
4.683055574,-0.1306178866
-1.612484809,-0.2009289943
2.712679226,1.02376335
-0.6555078748,0.1850226021
3.51582252,0.9794934869
0.1592956477,-0.3920251771
-0.1662258642,-1.571993645
2.427046933,1.083829508
-1.69493036,0.2973297994
-0.06195483029,-0.9109053882
-4.450808077,-0.7576765074
-2.892324126,-0.400976471
15.18699364,2.885533219
0.3546097607,-0.2949097391
0.3483022297,-0.05267447786
-0.4955835835,0.240237605
